genres,keywords,original_language,overview,tagline,title,vote_average,combined_text
"Drama, Comedy, Crime","holiday, elves, christmas party, department store, safe, drink, little people, christmas eve, christmas",en,"A miserable conman and his partner pose as Santa and his Little Helper to rob department stores on Christmas Eve. But they run into problems when the conman befriends a troubled kid, and the security boss discovers the plot.",He doesn't care if you're naughty or nice.,Bad Santa,6.5,"Bad Santa A miserable conman and his partner pose as Santa and his Little Helper to rob department stores on Christmas Eve. But they run into problems when the conman befriends a troubled kid, and the security boss discovers the plot. He doesn't care if you're naughty or nice. Drama, Comedy, Crime holiday, elves, christmas party, department store, safe, drink, little people, christmas eve, christmas"
"Drama, Comedy","slacker, basement, destiny, glue, stoner, wrong number, mumblecore",en,"Dispatched from his basement room on an errand for his mother, slacker Jeff might discover his destiny (finally) when he spends the day with his brother as he tracks his possibly adulterous wife.",The first step to finding your destiny is leaving your mother's basement.,"Jeff, Who Lives at Home",6.1,"Jeff, Who Lives at Home Dispatched from his basement room on an errand for his mother, slacker Jeff might discover his destiny (finally) when he spends the day with his brother as he tracks his possibly adulterous wife. The first step to finding your destiny is leaving your mother's basement. Drama, Comedy slacker, basement, destiny, glue, stoner, wrong number, mumblecore"
Comedy,"independent film, neighbor, masturbation, phone sex, actress",en,"Girl 6 is a 1996 American film by director Spike Lee about a phone sex operator. Theresa Randle played the title character, and playwright Suzan-Lori Parks wrote the screenplay. The soundtrack is composed entirely of songs written by Prince. The film was screened in the Un Certain Regard section at the 1996 Cannes Film Festival. Directors Quentin Tarantino and Ron Silver make cameo appearances as film directors at a pair of interesting auditions.","A fresh, sassy and sexy comedy!",Girl 6,5.7,"Girl 6 Girl 6 is a 1996 American film by director Spike Lee about a phone sex operator. Theresa Randle played the title character, and playwright Suzan-Lori Parks wrote the screenplay. The soundtrack is composed entirely of songs written by Prince. The film was screened in the Un Certain Regard section at the 1996 Cannes Film Festival. Directors Quentin Tarantino and Ron Silver make cameo appearances as film directors at a pair of interesting auditions. A fresh, sassy and sexy comedy! Comedy independent film, neighbor, masturbation, phone sex, actress"
"Adventure, Comedy, Family, Science Fiction","bureaucracy, england, dolphin, android, based on novel, chase, space travel, galaxy, spaceship, alien, stop motion, survival, hitchhiker, robot, alien invasion, everyman, hyperspace, meaning of life, based on radio show, alien attack, bathrobe, destruction of earth, intergalactic travel, islington england, talking robot",en,"Mere seconds before the Earth is to be demolished by an alien construction crew, Arthur Dent is swept off the planet by his friend Ford Prefect, a researcher penning a new edition of ""The Hitchhiker's Guide to the Galaxy.""",Don't leave Earth without it.,The Hitchhiker's Guide to the Galaxy,6.6,"The Hitchhiker's Guide to the Galaxy Mere seconds before the Earth is to be demolished by an alien construction crew, Arthur Dent is swept off the planet by his friend Ford Prefect, a researcher penning a new edition of ""The Hitchhiker's Guide to the Galaxy."" Don't leave Earth without it. Adventure, Comedy, Family, Science Fiction bureaucracy, england, dolphin, android, based on novel, chase, space travel, galaxy, spaceship, alien, stop motion, survival, hitchhiker, robot, alien invasion, everyman, hyperspace, meaning of life, based on radio show, alien attack, bathrobe, destruction of earth, intergalactic travel, islington england, talking robot"
"Action, History, Drama","warrior woman, number in title",en,"The aging Zhao embarks on his final and greatest campaign, a road to adventure that will crown his name in glory for all time.",,Three Kingdoms: Resurrection of the Dragon,6.6,"Three Kingdoms: Resurrection of the Dragon The aging Zhao embarks on his final and greatest campaign, a road to adventure that will crown his name in glory for all time.  Action, History, Drama warrior woman, number in title"
"Family, Fantasy","chocolate, factory worker, based on novel, candy, tv addicted person, overweight child, grandfather grandson relationship, factory, musical, single, teacher",en,Eccentric candy man Willy Wonka prompts a worldwide frenzy when he announces that golden tickets hidden inside five of his delicious candy bars will admit their lucky holders into his top-secret confectionary. But does Wonka have an agenda hidden amid a world of Oompa Loompas and chocolate rivers?,It's Scrumdiddlyumptious!,Willy Wonka & the Chocolate Factory,7.4,"Willy Wonka & the Chocolate Factory Eccentric candy man Willy Wonka prompts a worldwide frenzy when he announces that golden tickets hidden inside five of his delicious candy bars will admit their lucky holders into his top-secret confectionary. But does Wonka have an agenda hidden amid a world of Oompa Loompas and chocolate rivers? It's Scrumdiddlyumptious! Family, Fantasy chocolate, factory worker, based on novel, candy, tv addicted person, overweight child, grandfather grandson relationship, factory, musical, single, teacher"
"Action, Comedy, Thriller",gadfly,en,"The story of how a mysterious suitcase brings together, and changes, the lives of a divorced dad, an unhappy housewife, two hitmen, a pair of street thugs, two love struck teens, two FBI men and a psychedelic toad. Based on Pulitzer Prize-winning humorist Dave Barry's best-selling first novel, ""Big Trouble.""",They have forty-five minutes to save the world. They need forty-six.,Big Trouble,6.3,"Big Trouble The story of how a mysterious suitcase brings together, and changes, the lives of a divorced dad, an unhappy housewife, two hitmen, a pair of street thugs, two love struck teens, two FBI men and a psychedelic toad. Based on Pulitzer Prize-winning humorist Dave Barry's best-selling first novel, ""Big Trouble."" They have forty-five minutes to save the world. They need forty-six. Action, Comedy, Thriller gadfly"
"Horror, Mystery, Thriller","loss of family, drug addiction, jack the ripper",en,Frederick Abberline is an opium-huffing inspector from Scotland Yard who falls for one of Jack the Ripper's prostitute targets in this Hughes brothers adaption of a graphic novel that posits the Ripper's true identity.,Only the legend will survive.,From Hell,6.6,"From Hell Frederick Abberline is an opium-huffing inspector from Scotland Yard who falls for one of Jack the Ripper's prostitute targets in this Hughes brothers adaption of a graphic novel that posits the Ripper's true identity. Only the legend will survive. Horror, Mystery, Thriller loss of family, drug addiction, jack the ripper"
"Horror, Mystery","witch, voodoo, legend, sorcery, maryland, forest, footage, horror, true, student, lost, found footage, film",en,"In October of 1994 three student filmmakers disappeared in the woods near Burkittsville, Maryland, while shooting a documentary. A year later their footage was found.",The scariest movie of all time is a true story.,The Blair Witch Project,6.3,"The Blair Witch Project In October of 1994 three student filmmakers disappeared in the woods near Burkittsville, Maryland, while shooting a documentary. A year later their footage was found. The scariest movie of all time is a true story. Horror, Mystery witch, voodoo, legend, sorcery, maryland, forest, footage, horror, true, student, lost, found footage, film"
"Music, Drama","biography, based on play",en,"From director Clint Eastwood comes the big-screen version of the Tony Award-winning musical Jersey Boys. The film tells the story of four young men from the wrong side of the tracks in New Jersey who came together to form the iconic 1960s rock group The Four Seasons. The story of their trials and triumphs are accompanied by the songs that influenced a generation, including “Sherry,” “Big Girls Don’t Cry,” “Walk Like a Man,” “Rag Doll,” and many more.",,Jersey Boys,6.8,"Jersey Boys From director Clint Eastwood comes the big-screen version of the Tony Award-winning musical Jersey Boys. The film tells the story of four young men from the wrong side of the tracks in New Jersey who came together to form the iconic 1960s rock group The Four Seasons. The story of their trials and triumphs are accompanied by the songs that influenced a generation, including “Sherry,” “Big Girls Don’t Cry,” “Walk Like a Man,” “Rag Doll,” and many more.  Music, Drama biography, based on play"
"Drama, Mystery, Thriller","servant, money, shooting party",en,"Multiple storylined drama set in 1932, showing the lives of upstairs guest and downstairs servants at a party in a country house in England.",Tea at four. Dinner at eight. Murder at midnight.,Gosford Park,6.8,"Gosford Park Multiple storylined drama set in 1932, showing the lives of upstairs guest and downstairs servants at a party in a country house in England. Tea at four. Dinner at eight. Murder at midnight. Drama, Mystery, Thriller servant, money, shooting party"
